date,country,year,quarter,hpi,hpi_target_1q,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,hpi_lag_1,hpi_lag_2,hpi_lag_4,hpi_qoq_growth,hpi_yoy_growth,hpi_rolling_mean_4,hpi_rolling_std_4,inflation_yoy_lag_1,inflation_yoy_lag_4,unemployment_rate_lag_1,unemployment_rate_lag_4,housing_overburden_rate_lag_1,housing_overburden_rate_lag_4,ecb_main_refinancing_rate_lag_1,ecb_main_refinancing_rate_lag_4,unemployment_change_1q,inflation_change_1q,ecb_rate_change_1q,hpi_target_1q_growth
2015-01-01,Alemania,2015,1,97.8,99.9,98.93333333333334,-0.1345895020188336,4.5,15.6,0.05,96.2,96.2,93.8,1.6632016632016633,4.264392324093813,95.475,1.1412712210513365,0.4381530165149971,0.9510869565217516,4.6,4.8,15.9,15.9,0.05,0.25,-0.09999999999999964,-0.5727425185338307,0.0,2.14723926380369
2015-04-01,Alemania,2015,2,99.9,100.4,100.43333333333334,1.2432795698924748,4.4,15.6,0.05,97.8,96.2,95.7,2.147239263803691,4.3887147335423204,96.475,0.9142392101268381,-0.1345895020188336,0.9155645981688832,4.5,4.7,15.6,15.9,0.05,0.25,-0.09999999999999964,1.3778690719113085,0.0,0.5005005005005005
2015-07-01,Alemania,2015,3,100.4,101.8,100.73333333333332,1.070234113712365,4.2,15.6,0.05,99.9,97.8,96.2,0.5005005005005003,4.365904365904361,97.525,1.7538053863907996,1.2432795698924748,0.7751937984495916,4.4,4.6,15.6,15.9,0.05,0.15,-0.20000000000000018,-0.1730454561801098,0.0,1.3944223107569635
2015-10-01,Alemania,2015,4,101.8,103.9,99.86666666666667,0.5369127516778649,4.3,15.6,0.05,100.4,99.9,96.2,1.3944223107569709,5.8212058212058215,98.575,1.9431503630273752,1.070234113712365,0.4381530165149971,4.2,4.6,15.6,15.9,0.05,0.05,0.09999999999999964,-0.5333213620345001,0.0,2.0628683693516785
2016-01-01,Alemania,2016,1,103.9,106.9,99.06666666666666,0.1347708894878563,4.0,15.8,0.05,101.8,100.4,97.8,2.062868369351678,6.2372188139059315,99.97500000000001,1.6580611166862371,0.5369127516778649,-0.1345895020188336,4.3,4.5,15.6,15.6,0.05,0.05,-0.2999999999999998,-0.4021418621900086,0.0,2.8873917228103942
2016-04-01,Alemania,2016,2,106.9,108.8,100.33333333333331,-0.0995685363425202,4.0,15.8,0.0,103.9,101.8,99.9,2.887391722810384,7.0070070070070045,101.5,1.7907168024751683,0.1347708894878563,1.2432795698924748,4.0,4.4,15.8,15.6,0.05,0.05,0.0,-0.23433942583037648,-0.05,1.7773620205799732
2016-07-01,Alemania,2016,3,108.8,110.4,101.13333333333333,0.3970880211780159,3.8,15.8,0.0,106.9,103.9,100.4,1.7773620205799645,8.366533864541825,103.25,2.8266588050205685,-0.0995685363425202,1.070234113712365,4.0,4.2,15.8,15.6,0.0,0.05,-0.20000000000000018,0.4966565575205361,0.0,1.4705882352941255
2016-10-01,Alemania,2016,4,110.4,110.9,100.9,1.0347129506007802,3.7,15.8,0.0,108.8,106.9,101.8,1.4705882352941346,8.447937131630656,105.35000000000001,3.109662361093309,0.3970880211780159,0.5369127516778649,3.8,4.3,15.8,15.6,0.0,0.05,-0.09999999999999964,0.6376249294227643,0.0,0.4528985507246377
2017-01-01,Alemania,2017,1,110.9,113.1,100.83333333333331,1.7833109017496571,3.7,14.5,0.0,110.4,108.8,103.9,0.45289855072463414,6.737247353224252,107.5,2.7940412786262163,1.0347129506007802,0.1347708894878563,3.7,4.0,15.8,15.8,0.0,0.05,0.0,0.748597951148877,0.0,1.9837691614066626
2017-04-01,Alemania,2017,2,113.1,115.0,102.0,1.661129568106312,3.6,14.5,0.0,110.9,110.4,106.9,1.9837691614066566,5.799812909260971,109.25000000000001,1.804623691152086,1.7833109017496571,-0.0995685363425202,3.7,4.0,14.5,15.8,0.0,0.0,-0.10000000000000009,-0.12218133364334505,0.0,1.6799292661361678
