STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q2,,112.46,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q3,,113.67,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2017-Q4,,112.65,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q1,,115.13,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q2,,118.94,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q3,,120.10,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2018-Q4,,121.15,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q1,,121.53,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q2,,125.79,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q3,,127.81,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2019-Q4,,128.74,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q1,,131.26,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q2,,134.09,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q3,,138.00,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2020-Q4,,138.71,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q1,,144.08,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q2,,149.12,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q3,,153.52,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2021-Q4,,157.34,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q1,,164.63,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q2,,169.43,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q3,,173.59,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2022-Q4,,166.32,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q1,,164.35,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q2,,164.68,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q3,,164.29,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2023-Q4,,161.40,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q1,,159.54,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q2,,164.34,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q3,,165.13,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2024-Q4,,163.23,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q1,,165.17,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q2,,166.95,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q3,,167.87,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",AT,Austria,2025-Q4,,169.34,,p,provisional,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q1,,70.03,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q2,,71.59,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q3,,74.12,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2005-Q4,,75.65,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q1,,77.10,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q2,,79.18,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q3,,81.54,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2006-Q4,,82.16,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q1,,84.05,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q2,,85.75,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q3,,87.30,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2007-Q4,,87.70,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q1,,88.51,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q2,,89.69,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q3,,91.07,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2008-Q4,,90.52,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q1,,89.37,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q2,,88.56,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q3,,90.61,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2009-Q4,,89.77,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q1,,90.11,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q2,,90.83,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q3,,92.80,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2010-Q4,,92.65,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I15_Q,"Quarterly index, 2015=100",BE,Belgium,2011-Q1,,93.51,,,,,
