date,country,hicp,inflation_yoy,unemployment_rate,housing_overburden_rate,ecb_main_refinancing_rate,forecast_origin,hpi,forecast_step,iso_alpha
2026-01-01,Luxemburgo,128.79,2.812666311868006,6.0,8.1,2.15,2025-10-01,167.8709706960434,2,LUX
2026-01-01,Malta,130.0533333333333,2.522598276224497,2.8,6.0,2.15,2025-10-01,181.22505340894824,2,MLT
2026-01-01,Países Bajos,137.18333333333334,2.641161213088594,3.9,6.5,2.15,2025-10-01,226.70859137370235,2,NLD
2026-01-01,Polonia,153.93333333333334,2.827877978178561,3.2,4.1,2.15,2025-10-01,224.84082079293876,2,POL
2026-01-01,Portugal,125.9,2.310588617709985,6.0,6.3,2.15,2025-10-01,287.0404159400214,2,PRT
2026-01-01,Rumanía,162.36333333333334,7.908903608852658,6.0,5.0,2.15,2025-10-01,170.4799108673704,2,ROU
2026-01-01,Suecia,132.90333333333334,3.2339081352597,8.8,10.8,2.15,2025-10-01,134.7242627588644,2,SWE
2026-04-01,Alemania,132.5666666666667,2.1052631578947434,4.0,11.2,2.15,2026-01-01,160.1865418244812,3,DEU
2026-04-01,Austria,139.19,3.911907428144823,5.7,6.5,2.15,2026-01-01,174.5416892757631,3,AUT
2026-04-01,Bulgaria,143.32666666666668,3.652098449967456,3.7,6.9,2.15,2026-01-01,279.38573882582045,3,BGR
2026-04-01,Bélgica,135.3733333333333,2.633308061662865,6.2,6.7,2.15,2026-01-01,152.27888710876843,3,BEL
2026-04-01,Chequia,156.1,2.293577981651373,2.9,8.2,2.15,2026-01-01,268.8568423069701,3,CZE
2026-04-01,Chipre,119.39666666666666,0.0391006842619612,4.2,2.4,2.15,2026-01-01,162.04231414914926,3,CYP
2026-04-01,Croacia,139.69333333333336,4.602635782747622,4.5,3.2,2.15,2026-01-01,250.28369401871663,3,HRV
2026-04-01,Dinamarca,122.23333333333332,2.087973273942101,6.5,23.4,2.15,2026-01-01,163.2175111084649,3,DNK
2026-04-01,Eslovaquia,150.04666666666665,4.532998931772792,5.4,3.5,2.15,2026-01-01,225.14083401546196,3,SVK
2026-04-01,Eslovenia,131.98,2.884315559713113,4.1,3.5,2.15,2026-01-01,218.16780047468595,3,SVN
2026-04-01,España,126.96333333333332,2.812643398925685,10.5,7.2,2.15,2026-01-01,199.72369511178238,3,ESP
2026-04-01,Estonia,164.93,5.6837113930539696,7.4,8.8,2.15,2026-01-01,235.4789284368157,3,EST
2026-04-01,Finlandia,122.21,2.1452650934722595,9.9,4.7,2.15,2026-01-01,97.2275893121897,3,FIN
2026-04-01,Francia,125.15666666666668,0.9463637585697128,7.8,6.4,2.15,2026-01-01,132.57785637229978,3,FRA
2026-04-01,Hungría,174.74,4.222831921746395,4.5,5.3,2.15,2026-01-01,412.2674748431129,3,HUN
2026-04-01,Irlanda,122.53333333333336,2.054414214325395,4.9,5.3,2.15,2026-01-01,212.25981485111862,3,IRL
2026-04-01,Italia,124.23333333333332,1.7194323144104962,6.2,5.0,2.15,2026-01-01,121.54530447897632,3,ITA
2026-04-01,Letonia,151.74,4.095492899773623,7.1,5.7,2.15,2026-01-01,235.91639731295652,3,LVA
2026-04-01,Lituania,156.09,3.5903902309530222,6.9,5.7,2.15,2026-01-01,282.47516590777104,3,LTU
