country,"ARIMA(1,1,1)",ETS,Lasso,Moving Average,Naive,Ridge,Seasonal Naive,XGBoost
Alemania,3.187856101356389,3.211040565419671,2.7498425270499847,6.658333333333331,4.246666666666666,2.3269035693233056,9.206666666666665,2.4991487630208327
España,4.721748801900552,4.794485753749719,2.83708329634131,10.701333333333332,6.481333333333334,3.1115187787013174,14.709999999999997,4.502158325195311
Francia,2.468114592179261,2.647766176485204,1.1346012114005533,3.100333333333331,2.301333333333333,1.9889724107868365,5.007999999999998,1.660348836263023
Italia,1.9139853729833505,1.9737955877017166,1.1113112119692412,2.875,1.9199999999999997,1.216249712000867,4.053333333333333,1.428113606770833
Países Bajos,4.76570583362992,4.599191970504339,1.9258595367628193,11.387500000000005,7.145333333333336,2.727244862214015,16.466,5.67917858886719
UE-27,2.510518615560945,2.4629670362147276,1.269046621594261,4.8829999999999965,3.224000000000001,1.422838934916259,7.417999999999998,2.364068196614583
