country,Model,MAE,RMSE,sMAPE
Alemania,Ridge,2.3269035693233056,2.7617613003562647,1.510013981404127
España,Lasso,2.83708329634131,3.5591319075180627,1.8509029227207645
Francia,Lasso,1.1346012114005533,1.32754835863875,0.877856409077225
Italia,Lasso,1.1113112119692412,1.5932894511226707,0.9994668157042255
Países Bajos,Lasso,1.9258595367628193,2.4353473784903503,0.9852509795925479
UE-27,Lasso,1.269046621594261,1.6055508406909695,0.8392009422875528
