feature,importance
unemployment_rate,0.08760178167242438
hpi_lag_8,0.08328603561458184
hpi_rolling_mean_4,0.08172724121506773
hpi,0.08003603321683854
hpi_rolling_mean_8,0.07779255956362485
hpi_lag_1,0.0631096942714941
unemployment_rate_lag_1,0.06147002634885671
hpi_lag_3,0.05654329164425082
hpi_lag_4,0.055410645574427354
hpi_lag_2,0.050972899386663044
unemployment_rate_lag_2,0.04811270533133072
unemployment_rate_lag_4,0.03863308519329189
year,0.03759644821219822
ecb_main_refinancing_rate,0.033118994526307524
ecb_main_refinancing_rate_lag_1,0.025765930155584715
hpi_rolling_std_4,0.015042900457737263
ecb_main_refinancing_rate_lag_2,0.014810584478256153
inflation_yoy,0.012148832432077046
inflation_yoy_lag_2,0.011450083503998168
housing_overburden_rate,0.010912159880946735
ecb_main_refinancing_rate_lag_4,0.010852047866274727
inflation_yoy_lag_1,0.009341634712336988
housing_overburden_rate_lag_4,0.008485866239828251
inflation_yoy_lag_4,0.005093445968462162
ecb_rate_change_1q,0.004965479807654931
housing_overburden_rate_lag_1,0.004492964431616919
housing_overburden_rate_lag_2,0.003418073292629226
hpi_qoq_growth,0.0033039610076526092
hpi_yoy_growth,0.002978583765907354
inflation_change_1q,0.0009794845106448663
unemployment_change_1q,0.0005031156556000509
quarter,4.341006143408875e-05
