country,Model,MAE,RMSE,sMAPE
Alemania,Naive,4.246666666666666,5.2285753317706,2.7288633146588124
Alemania,Seasonal Naive,9.206666666666665,11.358609069776103,5.924481708482469
Alemania,Moving Average,6.658333333333331,7.828870182429475,4.279298337868741
Alemania,"ARIMA(1,1,1)",3.187856101356389,5.09044764830044,2.0390116162913885
Alemania,ETS,3.211040565419671,5.414999653878211,2.0470726398237433
Alemania,Ridge,2.3269035693233056,2.7617613003562647,1.510013981404127
Alemania,Lasso,2.7498425270499847,3.58008779702709,1.78179464349148
Alemania,XGBoost,2.4991487630208327,3.3862066676127784,1.604345927745707
España,Naive,6.481333333333334,7.497694756834706,4.043918283501425
España,Seasonal Naive,14.709999999999997,16.15200441637714,9.486301790203292
España,Moving Average,10.701333333333332,11.856182072376138,6.7827437561078865
España,"ARIMA(1,1,1)",4.721748801900552,5.5536400654274996,2.9471579113624373
España,ETS,4.794485753749719,5.671157311404147,2.993040978185894
España,Ridge,3.1115187787013174,3.8580285686665086,2.0008443121259196
España,Lasso,2.83708329634131,3.5591319075180627,1.8509029227207645
España,XGBoost,4.502158325195311,5.213380060361563,2.80266548962283
Francia,Naive,2.301333333333333,2.8908706877571233,1.7747520373161136
Francia,Seasonal Naive,5.007999999999998,6.057905028418102,3.8889981351134835
Francia,Moving Average,3.100333333333331,4.083990593361676,2.398892620063868
Francia,"ARIMA(1,1,1)",2.468114592179261,2.9391886974246773,1.8998709058139995
Francia,ETS,2.647766176485204,3.220089777974446,2.0365378615453267
Francia,Ridge,1.9889724107868365,2.5652618428468967,1.5536013570686817
Francia,Lasso,1.1346012114005533,1.32754835863875,0.877856409077225
Francia,XGBoost,1.660348836263023,2.065282731361752,1.2819086733825145
Italia,Naive,1.9199999999999997,2.3731835158706116,1.7352254191868015
Italia,Seasonal Naive,4.053333333333333,4.478839135311738,3.7010303854942714
Italia,Moving Average,2.875,3.224870798445523,2.6030203041584734
Italia,"ARIMA(1,1,1)",1.9139853729833505,2.390205534333032,1.7342740225988067
Italia,ETS,1.9737955877017166,2.287455488607851,1.7745527554659566
Italia,Ridge,1.216249712000867,1.6146231224116412,1.1009081657142312
Italia,Lasso,1.1113112119692412,1.5932894511226707,0.9994668157042255
Italia,XGBoost,1.428113606770833,1.8369199578566469,1.2931786481659542
Países Bajos,Naive,7.145333333333336,7.843210227111517,3.6740964725737033
Países Bajos,Seasonal Naive,16.466,19.216130550486312,8.726509886777507
Países Bajos,Moving Average,11.387500000000005,13.174724902251281,5.914133655464263
Países Bajos,"ARIMA(1,1,1)",4.76570583362992,5.519218609615917,2.4544468777459376
Países Bajos,ETS,4.599191970504339,5.396706849429628,2.3800584043028543
Países Bajos,Ridge,2.727244862214015,3.3695926407947625,1.394027456701056
Países Bajos,Lasso,1.9258595367628193,2.4353473784903503,0.9852509795925479
Países Bajos,XGBoost,5.67917858886719,6.487082147518066,2.905077898644858
UE-27,Naive,3.224000000000001,3.7194712885928656,2.104848517841866
UE-27,Seasonal Naive,7.417999999999998,8.880369737047364,4.961637942988038
UE-27,Moving Average,4.8829999999999965,6.081711381949434,3.2158844550429286
UE-27,"ARIMA(1,1,1)",2.510518615560945,2.90611827491913,1.6439863580381135
UE-27,ETS,2.4629670362147276,2.9423443867249257,1.6135176031119696
UE-27,Ridge,1.422838934916259,1.771431854387046,0.9355901628584857
UE-27,Lasso,1.269046621594261,1.6055508406909695,0.8392009422875528
UE-27,XGBoost,2.364068196614583,2.791605181194487,1.5388421677605302
