model,MAE,RMSE,sMAPE
Lasso alpha=0.1,2.5971259327162333,3.723600107360334,1.5604180424001532
Lasso alpha=0.01,2.9936078482456283,4.4307359783287845,1.8016012884567434
Ridge alpha=10,3.0500602470635005,4.350987224223859,1.8351096848383195
Ridge alpha=0.1,3.0845607579056225,4.487840452417569,1.8693330737839648
Lasso alpha=0.001,3.095357640128751,4.495607269308649,1.8741567886160764
Ridge alpha=1,3.108945463249275,4.516447099557503,1.875799643306607
Linear Regression,3.1639226018740176,4.578518156617055,1.9176524225877507
XGBoost,3.471729854213753,5.732416434127082,1.944622810173698
